x,y
05/01/11,582.25
12/01/11,591.6
19/01/11,578.24
26/01/11,578.24
02/02/11,557.77
09/02/11,583.58
16/02/11,574.68
23/02/11,540.41
02/03/11,531.5
09/03/11,551.53
16/03/11,505.68
23/03/11,535.06
30/03/11,552.42
06/04/11,558.66
13/04/11,555.54
20/04/11,572.75
27/04/11,578.63
04/05/11,566.88
11/05/11,582.7
18/05/11,575.01
25/05/11,565.07
01/06/11,567.33
08/06/11,549.25
15/06/11,548.34
22/06/11,543.82
29/06/11,573.66
06/07/11,589.48
13/07/11,588.58
20/07/11,586.31
27/07/11,579.99
03/08/11,565.07
10/08/11,504.04
17/08/11,551.51
24/08/11,544.27
31/08/11,578.63
07/09/11,578.18
14/09/11,552.41
21/09/11,565.07
28/09/11,552.86
05/10/11,537.95
12/10/11,565.97
19/10/11,641.47
26/10/11,646.73
02/11/11,643.53
09/11/11,650.38
16/11/11,661.33
23/11/11,599.72
30/11/11,665.44
07/12/11,654.94
14/12/11,647.18
21/12/11,645.81
28/12/11,666.81
04/01/12,684.61
11/01/12,698.3
18/01/12,684.15
25/01/12,674.57
01/02/12,703.32
08/02/12,716.56
15/02/12,719.29
22/02/12,731.62
29/02/12,743.03
07/03/12,742.12
14/03/12,763.11
21/03/12,751.7
28/03/12,752.16
04/04/12,740.29
11/04/12,733.44
18/04/12,742.12
25/04/12,760.62
02/05/12,778.2
09/05/12,781.43
16/05/12,768.48
23/05/12,739.82
30/05/12,762.47
06/06/12,747.21
13/06/12,768.95
20/06/12,792.07
27/06/12,783.28
04/07/12,815.19
11/07/12,802.24
18/07/12,795.77
25/07/12,767.1
01/08/12,799
08/08/12,787.9
15/08/12,795.77
22/08/12,776.35
29/08/12,761.55
05/09/12,765.71
12/09/12,766.17
19/09/12,793.92
26/09/12,775.42
03/10/12,803.16
10/10/12,805.48
17/10/12,809.64
24/10/12,798.71
31/10/12,797.31
07/11/12,805.71
14/11/12,812.71
21/11/12,811.78
28/11/12,819.24
05/12/12,852.36
12/12/12,816.91
19/12/12,824.37
26/12/12,825.77
02/01/13,849.56
09/01/13,836.03
16/01/13,850.96
23/01/13,863.56
30/01/13,879.42
06/02/13,911.61
13/02/13,918.61
20/02/13,990.93
27/02/13,951.74
06/03/13,973.2
13/03/13,991.86
20/03/13,1055.31
27/03/13,1034.78
03/04/13,1047.84
10/04/13,1026.38
17/04/13,1049.71
24/04/13,1066.34
01/05/13,1068.23
08/05/13,1095.57
15/05/13,1154.97
22/05/13,1152.14
29/05/13,1122.91
05/06/13,1121.97
12/06/13,1121.97
19/06/13,1123.85
26/06/13,1068.23
03/07/13,1072.94
10/07/13,1127.63
17/07/13,1114.43
24/07/13,1112.54
31/07/13,1107.83
07/08/13,1125.74
14/08/13,1081.43
21/08/13,1059.74
28/08/13,1029.57
04/09/13,1055.03
11/09/13,1060.68
18/09/13,1033.34
25/09/13,1057.86
02/10/13,1055.97
09/10/13,1020.14
16/10/13,1039
23/10/13,1086.82
30/10/13,1093.47
06/11/13,1092.52
13/11/13,1149.52
20/11/13,1177.07
27/11/13,1184.67
04/12/13,1138.12
11/12/13,1143.82
18/12/13,1165.67
25/12/13,1192.27
01/01/14,1211.27
08/01/14,1221.72
15/01/14,1183.72
22/01/14,1172.32
29/01/14,1133.37
05/02/14,1106.77
12/02/14,1149.52
19/02/14,950.02
26/02/14,913.44
05/03/14,973.77
12/03/14,982.32
19/03/14,1019.37
26/03/14,1023.17
02/04/14,1038.37
09/04/14,1015.57
16/04/14,970.92
23/04/14,991.05
30/04/14,1010.29
07/05/14,969.88
14/05/14,991.05
21/05/14,963.15
28/05/14,977.58
04/06/14,1021.84
11/06/14,978.54
18/06/14,971.81
25/06/14,1005.48
02/07/14,1008.37
09/07/14,1006.44
16/07/14,1020.88
23/07/14,1003.56
30/07/14,1015.1
06/08/14,1000.67
13/08/14,999.71
20/08/14,984.31
27/08/14,993.94
03/09/14,985.28
10/09/14,989.12
17/09/14,973.73
24/09/14,935.24
01/10/14,908.3
08/10/14,907.82
15/10/14,897.24
22/10/14,770.23
29/10/14,780.45
05/11/14,831.05
12/11/14,835.43
19/11/14,821.8
26/11/14,843.7
03/12/14,844.19
10/12/14,833
17/12/14,811.1
24/12/14,851.49
31/12/14,846.62
07/01/15,836.4
14/01/15,829.59
21/01/15,868.03
28/01/15,858.78
04/02/15,875.33
11/02/15,880.68
18/02/15,909.39
25/02/15,913.77
04/03/15,924.47
11/03/15,949.77
18/03/15,957.56
25/03/15,954.64
01/04/15,924.47
08/04/15,918.63
15/04/15,959.99
22/04/15,1019.84
29/04/15,1015.99
06/05/15,1009.08
13/05/15,991.33
20/05/15,990.34
27/05/15,1004.15
03/06/15,973.57
10/06/15,970.62
17/06/15,906.01
24/06/15,895.65
01/07/15,877.89
08/07/15,748.18
15/07/15,770.87
22/07/15,750.16
29/07/15,720.56
05/08/15,806.38
12/08/15,789.12
19/08/15,751.64
26/08/15,704.78
02/09/15,722.04
09/09/15,721.06
16/09/15,710.21
23/09/15,670.26
30/09/15,667.79
07/10/15,724.02
14/10/15,689
21/10/15,672.23
28/10/15,673.5
04/11/15,709.5
11/11/15,516
